url_normalized,top_expert,top_expert_p,actiongeo_lat,actiongeo_lon,sqldate,dateadded
http://www.weisradio.com/canadian-protesters-allegedly-barred-from-marching/,protests,0.9626585843265864,38.8951,-77.0364,20170121,20170121223000
http://www.whittierdailynews.com/general-news/20170120/montebello-unified-workers-protest-against-potential-layoffs-call-for-no-more-lies,protests,0.9624032804604652,34.3667,-118.201,20170121,20170121000000
https://www.thecourier.co.uk/news/uk-world/353745/thousands-protest-against-trump-presidency-in-the-us-and-around-the-world/,protests,0.959984187722536,54.0,-2.0,20170121,20170121081500
http://www.abc.net.au/news/2017-01-22/donald-trump-protest-marches-to-take-place-by-women-worldwide/8200784,protests,0.9596653788890304,51.5,-0.116667,20170121,20170121151500
http://www.beat102103.com/news/thousand-women-across-world-protest-trump/,protests,0.9582703756751044,38.8951,-77.0364,20170121,20170121190000
http://q13fox.com/2017/01/20/police-pushing-back-uw-campus-protesters-opposed-to-appearance-by-right-wing-commentator/,protests,0.9575011999316208,36.17,-119.746,20170121,20170121040000
http://www.cnn.com/2017/01/21/politics/womens-march-protests-live-coverage/,protests,0.9561069313808148,38.0,-97.0,20170121,20170121100000
http://www.ny1.com/nyc/all-boroughs/trump-inauguration/2017/01/21/women-s-march-on-washington-women-s-march-on-new-york-city.html,protests,0.955355270410622,50.0833,14.4667,20170121,20170121183000
http://www.101touchfm.co.uk/round-here/news/headlines/half-a-million-women-protest-against-donald-trump-in-washington-dc/,protests,0.954862177660426,51.45,-2.58333,20170121,20170121170000
http://www.rferl.org/a/women-washington-protest-marchers-signal-trump/28247534.html,protests,0.9533310708580705,38.8951,-77.0364,20170121,20170121001500
http://www.bbc.com/news/world-us-canada-38705586,protests,0.9528580237967827,13.75,100.517,20170121,20170121144500
http://www.dailytelegraph.com.au/news/nsw/trump-inauguration-2017-thousands-turn-out-to-sydney-protest/news-story/b20ef7beba26fc483acb0a561d872a67?nk=b47d2717092156dfcd6d3bb4e3d54fbb-1484973073,protests,0.9522950979997606,38.8951,-77.0364,20170121,20170121044500
http://nymag.com/thecut/2017/01/womens-march-canadian-protesters-denied-u-s-entry.html,protests,0.9518525441261454,38.8951,-77.0364,20170121,20170121201500
http://www.aljazeera.com/news/2017/01/thousands-protest-conference-germany-170121135526441.html,protests,0.9517407932880756,52.5167,13.4,20170121,20170121151500
http://gothamist.com/2017/01/21/disruptj20_march_hits_the_streets_i.php,protests,0.9515698112816092,40.7834,-73.9662,20170121,20170121201500
http://www.680news.com/2017/01/21/thousands-gather-toronto-support-washington-womens-march/,protests,0.9515274587576444,43.6667,-79.4167,20170121,20170121203000
http://politics.blog.ajc.com/2017/01/21/thousands-of-protesters-to-descend-on-washington-atlanta-for-womens-march/,protests,0.9512612659350816,38.8951,-77.0364,20170121,20170121113000
