feature,coefficient,fold_id,event_type,horizon,model_name,target
fe__country_iso3_IDN,-0.6127941496292137,1,strike,7,model2_full,strike_7d
fe__country_iso3_IND,4.211466429373256,1,strike,7,model2_full,strike_7d
fe__country_iso3_IRL,1.3085271376911376,1,strike,7,model2_full,strike_7d
fe__country_iso3_ITA,-0.3248216445624894,1,strike,7,model2_full,strike_7d
fe__country_iso3_JPN,-2.563451039186141,1,strike,7,model2_full,strike_7d
fe__country_iso3_KEN,1.9365216580690416,1,strike,7,model2_full,strike_7d
fe__country_iso3_KOR,1.2784921367231448,1,strike,7,model2_full,strike_7d
fe__country_iso3_LAO,-3.2098618635231637,1,strike,7,model2_full,strike_7d
fe__country_iso3_MAR,-1.641031319190425,1,strike,7,model2_full,strike_7d
fe__country_iso3_MEX,0.3862053075179542,1,strike,7,model2_full,strike_7d
fe__country_iso3_MOZ,-1.935103119839073,1,strike,7,model2_full,strike_7d
fe__country_iso3_MYS,-0.7557533553328853,1,strike,7,model2_full,strike_7d
fe__country_iso3_NAM,-2.1096972999300063,1,strike,7,model2_full,strike_7d
fe__country_iso3_NLD,-0.897040361314393,1,strike,7,model2_full,strike_7d
fe__country_iso3_NOR,-1.652967482703349,1,strike,7,model2_full,strike_7d
fe__country_iso3_PER,-0.1838916225373574,1,strike,7,model2_full,strike_7d
fe__country_iso3_PHL,1.531956808571631,1,strike,7,model2_full,strike_7d
fe__country_iso3_POL,-2.527964423172352,1,strike,7,model2_full,strike_7d
fe__country_iso3_PRT,-0.0782420410429227,1,strike,7,model2_full,strike_7d
fe__country_iso3_SWE,-1.9453047283249705,1,strike,7,model2_full,strike_7d
fe__country_iso3_THA,-0.2487131318663719,1,strike,7,model2_full,strike_7d
fe__country_iso3_TUR,0.4423881008144604,1,strike,7,model2_full,strike_7d
fe__country_iso3_USA,3.401327004937408,1,strike,7,model2_full,strike_7d
fe__country_iso3_VNM,0.0362725597976223,1,strike,7,model2_full,strike_7d
fe__country_iso3_ZAF,2.0589757022203194,1,strike,7,model2_full,strike_7d
fe__country_iso3_ZWE,1.939616500697617,1,strike,7,model2_full,strike_7d
num__gdelt_protest_7d_lag,0.1357320552407059,2,strike,7,model2_full,strike_7d
num__gdelt_protest_28d_lag,0.036498606423915,2,strike,7,model2_full,strike_7d
num__gdelt_strike_7d_lag,0.2186327230336797,2,strike,7,model2_full,strike_7d
num__gdelt_strike_28d_lag,0.2636961413731357,2,strike,7,model2_full,strike_7d
num__gdelt_protest_region_14d,0.0037694002760375,2,strike,7,model2_full,strike_7d
num__gdelt_strike_region_14d,-0.0045301661709322,2,strike,7,model2_full,strike_7d
num__fx_pct_7d,-0.3186111790823425,2,strike,7,model2_full,strike_7d
num__fx_pct_30d,0.024588904922488,2,strike,7,model2_full,strike_7d
num__fx_pct_90d,0.1716683431155145,2,strike,7,model2_full,strike_7d
num__fx_vol_7d,-0.0462598833856369,2,strike,7,model2_full,strike_7d
num__fx_vol_30d,-0.0223685892988193,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_14d,0.0801372887447342,2,strike,7,model2_full,strike_7d
num__yield_us10y,0.3409315014521734,2,strike,7,model2_full,strike_7d
num__fx_pct_30d_z,0.0904027739538929,2,strike,7,model2_full,strike_7d
num__fx_vol_30d_z,-0.0665835287276101,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_z,-0.076687159472101,2,strike,7,model2_full,strike_7d
num__copper_pct_30d,-0.0629646589519303,2,strike,7,model2_full,strike_7d
num__copper_pct_90d,0.1092447559067803,2,strike,7,model2_full,strike_7d
num__copper_vol_30d,-0.0570836735878393,2,strike,7,model2_full,strike_7d
num__gold_pct_30d,-0.0391844406389697,2,strike,7,model2_full,strike_7d
num__gold_vol_30d,0.1169743750498524,2,strike,7,model2_full,strike_7d
num__platinum_pct_30d,0.1133377531783037,2,strike,7,model2_full,strike_7d
num__silver_pct_30d,0.012781181836977,2,strike,7,model2_full,strike_7d
num__natgas_pct_30d,-0.0856875416448487,2,strike,7,model2_full,strike_7d
num__vix_pct_30d,-0.0594121557503585,2,strike,7,model2_full,strike_7d
num__vix_7d_ma,0.0989340550395792,2,strike,7,model2_full,strike_7d
num__dxy_level,0.0982140732248291,2,strike,7,model2_full,strike_7d
num__dxy_pct_30d,-0.0893749617893,2,strike,7,model2_full,strike_7d
num__dxy_vol_30d,-0.0145328759110077,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag30d,-0.0318826219520094,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag60d,0.0149078342575084,2,strike,7,model2_full,strike_7d
num__oil_brent_pct_30d_lag90d,-0.0105421306833197,2,strike,7,model2_full,strike_7d
num__vix_pct_30d_lag30d,-0.0379353176789082,2,strike,7,model2_full,strike_7d
num__vix_pct_30d_lag60d,-0.0632375284617056,2,strike,7,model2_full,strike_7d
num__fx_pct_30d_lag30d,0.0148580413766914,2,strike,7,model2_full,strike_7d
