iso3,cowcode,year,month,protest_count,participant_sum
BLR,370,2020,12,42,800.0
BLR,370,2021,1,52,2190.0
BLR,370,2021,2,1,0.0
BLR,370,2021,3,8,100.0
BLR,370,2021,4,6,100.0
BLR,370,2021,5,8,630.0
BOL,145,2019,2,4,0.0
BOL,145,2019,6,6,0.0
BOL,145,2019,8,1,100.0
BOL,145,2019,10,56,0.0
BOL,145,2019,11,83,8000.0
BOL,145,2020,3,1,2000.0
BOL,145,2020,5,6,0.0
BOL,145,2020,6,3,0.0
BOL,145,2020,7,5,10000.0
BOL,145,2020,8,1,0.0
BOL,145,2020,10,5,0.0
BOL,145,2021,3,5,0.0
BOL,145,2021,8,3,0.0
BOL,145,2021,10,8,0.0
BOL,145,2022,8,1,0.0
BOL,145,2022,10,2,0.0
BOL,145,2022,11,2,0.0
BOL,145,2022,12,8,0.0
CAF,482,2017,5,1,0.0
CAF,482,2019,6,1,0.0
CAF,482,2022,4,1,0.0
CAF,482,2022,8,3,300.0
CAF,482,2022,9,1,0.0
CAF,482,2022,12,1,0.0
CHN,710,2017,1,6,150.0
CHN,710,2017,2,8,30400.0
CHN,710,2017,3,8,0.0
CHN,710,2017,6,16,180.0
CHN,710,2017,7,19,60000.0
CHN,710,2017,8,5,44000.0
CHN,710,2017,9,3,0.0
CHN,710,2017,10,9,200.0
CHN,710,2017,11,1,0.0
CHN,710,2017,12,3,1000.0
CHN,710,2018,1,1,0.0
CHN,710,2018,6,2,0.0
CHN,710,2018,7,5,500.0
CHN,710,2018,8,9,0.0
CHN,710,2018,9,6,2400.0
CHN,710,2018,10,7,1800.0
CHN,710,2018,11,3,200.0
CHN,710,2018,12,3,130.0
CHN,710,2019,1,1,0.0
CHN,710,2019,2,1,0.0
CHN,710,2019,6,94,4183200.0
CHN,710,2019,7,125,1949600.0
CHN,710,2019,8,184,5599544.0
CHN,710,2019,9,94,48400.0
CHN,710,2019,10,114,605600.0
CHN,710,2019,11,175,4830.0
CHN,710,2019,12,63,4818900.0
CHN,710,2020,1,18,19000.0
CHN,710,2020,2,1,0.0
CHN,710,2020,4,6,100.0
CHN,710,2020,5,31,200.0
CHN,710,2020,6,23,100.0
CHN,710,2020,7,23,70.0
CHN,710,2020,8,3,0.0
CHN,710,2020,9,2,0.0
CHN,710,2020,10,4,0.0
CHN,710,2020,11,2,0.0
CHN,710,2020,12,1,0.0
CHN,710,2021,5,1,100.0
CHN,710,2021,6,5,100.0
CHN,710,2021,9,3,0.0
CHN,710,2022,4,2,0.0
CHN,710,2022,5,2,0.0
CHN,710,2022,7,5,0.0
CHN,710,2022,9,2,0.0
CHN,710,2022,10,1,0.0
CHN,710,2022,11,28,0.0
CHN,710,2022,12,1,0.0
CMR,471,2017,6,1,0.0
CMR,471,2017,8,1,0.0
CMR,471,2017,9,3,0.0
CMR,471,2017,10,10,0.0
CMR,471,2018,9,2,0.0
CMR,471,2018,10,2,0.0
CMR,471,2018,11,3,0.0
CMR,471,2019,1,4,900.0
CMR,471,2019,2,2,0.0
CMR,471,2019,10,1,0.0
CMR,471,2020,9,8,0.0
CMR,471,2020,10,1,0.0
CMR,471,2021,10,2,500.0
CMR,471,2021,11,1,0.0
CMR,471,2022,11,1,0.0
COD,490,2017,2,3,200.0
COD,490,2017,3,5,0.0
COD,490,2017,4,10,0.0
COD,490,2017,5,1,0.0
COD,490,2017,6,1,0.0
COD,490,2017,7,14,0.0
COD,490,2017,8,18,0.0
COD,490,2017,9,8,0.0
COD,490,2017,10,11,0.0
COD,490,2017,11,19,100.0
COD,490,2017,12,26,1000.0
COD,490,2018,1,14,0.0
COD,490,2018,2,13,0.0
COD,490,2018,3,1,0.0
COD,490,2018,4,5,100.0
COD,490,2018,5,2,0.0
COD,490,2018,6,1,0.0
COD,490,2018,7,1,0.0
COD,490,2018,8,4,0.0
COD,490,2018,9,6,100.0
COD,490,2018,10,11,150000.0
COD,490,2018,11,1,0.0
COD,490,2018,12,10,0.0
COD,490,2019,1,2,0.0
COD,490,2019,2,2,0.0
COD,490,2019,11,2,0.0
COD,490,2020,1,1,0.0
COD,490,2020,6,3,0.0
COD,490,2020,7,13,0.0
COD,490,2021,3,3,0.0
COD,490,2021,4,5,0.0
COD,490,2021,7,2,0.0
COD,490,2021,10,1,0.0
COD,490,2021,12,2,0.0
COD,490,2022,4,2,0.0
COD,490,2022,5,1,0.0
COD,490,2022,8,1,0.0
COD,490,2022,9,2,200.0
COL,101,2017,1,8,2300.0
COL,101,2017,2,3,0.0
COL,101,2017,3,3,50.0
COL,101,2017,4,157,16000.0
COL,101,2017,5,152,274300.0
COL,101,2017,6,58,2000.0
COL,101,2017,7,125,4200.0
COL,101,2017,8,6,0.0
COL,101,2017,9,1,200.0
COL,101,2017,12,4,100.0
COL,101,2018,1,15,6000.0
COL,101,2018,2,1,0.0
COL,101,2018,3,17,75.0
COL,101,2018,4,14,0.0
COL,101,2018,5,18,700.0
COL,101,2018,6,3,300.0
COL,101,2018,7,10,150.0
COL,101,2018,8,15,0.0
COL,101,2018,9,2,0.0
COL,101,2018,10,1,0.0
COL,101,2018,11,4,0.0
COL,101,2019,1,131,1027.0
COL,101,2019,2,62,5000.0
COL,101,2019,3,74,300.0
COL,101,2019,4,54,0.0
COL,101,2019,5,39,2150.0
COL,101,2019,6,7,50.0
COL,101,2019,7,18,0.0
COL,101,2019,8,3,0.0
COL,101,2019,9,2,0.0
COL,101,2019,10,4,1000.0
COL,101,2019,11,15,15000.0
COL,101,2020,1,1,0.0
COL,101,2020,2,9,2200.0
COL,101,2020,3,12,200.0
COL,101,2020,4,23,0.0
COL,101,2020,5,6,0.0
COL,101,2020,6,4,0.0
COL,101,2020,7,1,0.0
COL,101,2020,8,5,0.0
COL,101,2020,9,7,0.0
COL,101,2020,10,1,0.0
COL,101,2021,1,1,0.0
COL,101,2021,2,3,300.0
COL,101,2021,3,1,0.0
COL,101,2021,4,7,0.0
COL,101,2021,5,1,0.0
COL,101,2021,6,4,0.0
COL,101,2021,7,1,0.0
COL,101,2021,10,4,0.0
COL,101,2021,12,1,500.0
COL,101,2022,2,4,0.0
CUB,40,2017,5,4,0.0
CUB,40,2017,9,1,0.0
CUB,40,2018,5,6,4000000.0
CUB,40,2019,5,3,100.0
CUB,40,2020,11,12,2100.0
CUB,40,2021,1,1,0.0
CUB,40,2021,2,1,0.0
CUB,40,2021,4,2,0.0
CUB,40,2021,7,98,700.0
CUB,40,2021,11,4,0.0
CUB,40,2022,7,3,0.0
CUB,40,2022,9,9,400.0
CUB,40,2022,10,3,0.0
DZA,615,2017,1,11,30.0
DZA,615,2017,2,2,0.0
DZA,615,2017,3,2,0.0
DZA,615,2017,4,1,0.0
DZA,615,2017,5,5,0.0
DZA,615,2017,6,2,150.0
DZA,615,2017,7,1,0.0
DZA,615,2017,8,1,30.0
DZA,615,2017,11,4,0.0
DZA,615,2017,12,14,0.0
DZA,615,2018,1,3,0.0
DZA,615,2018,2,2,1000.0
DZA,615,2018,3,1,0.0
DZA,615,2018,4,1,0.0
DZA,615,2018,7,3,0.0
DZA,615,2018,8,2,0.0
DZA,615,2018,10,2,0.0
DZA,615,2018,11,1,0.0
DZA,615,2018,12,1,0.0
DZA,615,2019,1,1,0.0
DZA,615,2019,2,72,110800.0
DZA,615,2019,3,185,10000.0
DZA,615,2019,4,67,1000.0
DZA,615,2019,5,27,0.0
DZA,615,2019,6,19,0.0
DZA,615,2019,7,10,0.0
DZA,615,2019,8,6,0.0
DZA,615,2019,9,9,0.0
DZA,615,2019,10,8,0.0
DZA,615,2019,11,35,420.0
DZA,615,2019,12,54,20000.0
DZA,615,2020,1,3,0.0
DZA,615,2020,2,25,0.0
DZA,615,2020,3,9,400.0
DZA,615,2020,4,2,0.0
DZA,615,2020,5,5,100.0
DZA,615,2020,6,12,0.0
DZA,615,2020,8,11,0.0
DZA,615,2020,9,5,0.0
DZA,615,2020,10,17,100.0
DZA,615,2021,1,1,0.0
DZA,615,2021,2,53,0.0
DZA,615,2021,3,42,2000.0
DZA,615,2021,4,22,0.0
DZA,615,2021,5,18,0.0
DZA,615,2021,7,3,0.0
EGY,651,2017,3,4,0.0
EGY,651,2017,6,12,0.0
EGY,651,2017,7,3,0.0
EGY,651,2017,11,2,0.0
EGY,651,2017,12,1,0.0
EGY,651,2018,5,2,0.0
EGY,651,2019,1,1,0.0
EGY,651,2019,3,1,0.0
EGY,651,2019,5,1,0.0
EGY,651,2019,9,8,0.0
EGY,651,2020,7,1,0.0
EGY,651,2020,9,9,0.0
EGY,651,2020,10,3,0.0
EGY,651,2022,1,5,140.0
EGY,651,2022,9,2,0.0
EGY,651,2022,10,2,0.0
EGY,651,2022,11,7,0.0
EGY,651,2022,12,2,0.0
ERI,531,2017,10,8,0.0
ERI,531,2017,11,1,0.0
ETH,530,2017,3,1,0.0
ETH,530,2017,7,3,0.0
ETH,530,2017,8,1,0.0
ETH,530,2017,10,14,15000.0
ETH,530,2017,11,2,0.0
ETH,530,2017,12,16,0.0
ETH,530,2018,1,18,0.0
ETH,530,2018,2,32,0.0
ETH,530,2018,3,8,0.0
ETH,530,2018,4,6,25000.0
ETH,530,2018,5,2,0.0
ETH,530,2018,6,59,35000.0
ETH,530,2018,7,11,0.0
ETH,530,2018,8,11,0.0
ETH,530,2018,9,22,0.0
ETH,530,2018,10,9,0.0
ETH,530,2018,11,8,0.0
ETH,530,2018,12,2,0.0
ETH,530,2019,4,1,0.0
ETH,530,2019,7,3,0.0
ETH,530,2019,9,1,0.0
ETH,530,2019,10,18,0.0
ETH,530,2019,12,1,0.0
ETH,530,2020,1,1,0.0
ETH,530,2020,2,4,0.0
ETH,530,2020,3,2,0.0
ETH,530,2020,5,1,0.0
ETH,530,2020,6,20,0.0
ETH,530,2020,7,11,0.0
ETH,530,2020,8,30,0.0
ETH,530,2020,9,1,0.0
ETH,530,2020,10,4,0.0
ETH,530,2020,11,17,0.0
ETH,530,2021,2,17,0.0
ETH,530,2021,4,1,0.0
ETH,530,2021,5,5,0.0
ETH,530,2021,6,11,0.0
ETH,530,2021,7,29,0.0
ETH,530,2021,8,17,0.0
ETH,530,2021,10,2,0.0
ETH,530,2021,11,9,0.0
ETH,530,2022,6,2,0.0
ETH,530,2022,10,7,0.0
GAB,481,2017,5,1,0.0
GIN,438,2017,2,6,0.0
GIN,438,2017,4,2,0.0
GIN,438,2017,8,1,0.0
GIN,438,2017,9,4,0.0
GIN,438,2017,11,2,0.0
GIN,438,2017,12,1,300.0
GIN,438,2018,2,6,0.0
GIN,438,2018,3,8,1000.0
GIN,438,2018,5,1,0.0
GIN,438,2018,7,3,0.0
GIN,438,2018,10,12,0.0
GIN,438,2018,11,6,0.0
GIN,438,2018,12,1,0.0
GIN,438,2019,10,24,30000.0
GIN,438,2019,11,13,1000000.0
GIN,438,2019,12,1,1000000.0
GIN,438,2020,1,23,0.0
GIN,438,2020,2,8,0.0
GIN,438,2020,3,22,0.0
GIN,438,2020,4,1,0.0
GIN,438,2020,5,2,0.0
GIN,438,2020,7,8,0.0
GIN,438,2020,9,8,0.0
GIN,438,2020,10,23,0.0
GIN,438,2020,11,2,0.0
GIN,438,2021,4,1,0.0
GIN,438,2021,5,1,0.0
GIN,438,2021,10,1,0.0
GIN,438,2021,12,1,0.0
GIN,438,2022,2,1,0.0
GIN,438,2022,6,4,0.0
GIN,438,2022,7,10,0.0
GIN,438,2022,8,5,0.0
GIN,438,2022,9,2,0.0
GIN,438,2022,10,4,0.0
GMB,420,2017,1,3,0.0
GMB,420,2017,2,1,0.0
GMB,420,2017,3,1,0.0
GMB,420,2017,4,2,0.0
GMB,420,2018,4,1,30.0
GMB,420,2018,6,5,0.0
GMB,420,2019,12,3,10000.0
GMB,420,2020,1,15,0.0
GMB,420,2021,10,1,400.0
GMB,420,2021,12,3,0.0
GNB,404,2018,7,1,0.0
GNB,404,2018,10,1,0.0
GNB,404,2019,5,4,0.0
GNB,404,2019,10,1,0.0
GNQ,411,2017,11,1,0.0
GUY,93,2017,4,2,0.0
GUY,93,2017,11,1,0.0
GUY,93,2018,4,45,0.0
GUY,93,2018,5,50,0.0
GUY,93,2018,6,29,0.0
GUY,93,2018,7,34,100.0
GUY,93,2018,8,8,0.0
GUY,93,2018,9,7,0.0
GUY,93,2018,10,3,0.0
GUY,93,2019,3,10,150.0
GUY,93,2019,4,7,0.0
GUY,93,2019,5,5,100.0
GUY,93,2019,9,1,0.0
GUY,93,2019,10,1,0.0
GUY,93,2019,11,12,0.0
GUY,93,2020,2,1,0.0
GUY,93,2020,3,1,0.0
HTI,41,2017,3,3,0.0
HTI,41,2017,4,2,0.0
HTI,41,2017,7,1,0.0
HTI,41,2017,9,4,2000.0
HTI,41,2017,10,2,0.0
HTI,41,2017,11,1,0.0
HTI,41,2018,3,1,200.0
HTI,41,2018,7,24,0.0
HTI,41,2018,9,1,0.0
HTI,41,2018,10,4,0.0
HTI,41,2018,11,4,0.0
HTI,41,2019,2,10,0.0
HTI,41,2019,5,1,0.0
HTI,41,2019,6,8,0.0
HTI,41,2019,9,11,0.0
HTI,41,2019,10,17,0.0
HTI,41,2019,11,2,0.0
HTI,41,2020,1,2,0.0
HTI,41,2020,2,6,0.0
HTI,41,2020,7,4,200.0
HTI,41,2020,9,2,0.0
HTI,41,2020,10,3,0.0
HTI,41,2020,11,1,2000.0
HTI,41,2021,1,7,0.0
HTI,41,2021,2,9,100.0
HTI,41,2021,4,1,0.0
HTI,41,2021,7,6,0.0
HTI,41,2021,10,7,0.0
HTI,41,2022,2,5,0.0
HTI,41,2022,3,4,0.0
HTI,41,2022,7,1,0.0
HTI,41,2022,8,1,0.0
HTI,41,2022,9,10,0.0
HTI,41,2022,10,4,0.0
HUN,310,2019,1,8,18530.0
HUN,310,2019,2,5,0.0
HUN,310,2019,5,1,0.0
HUN,310,2019,6,1,0.0
HUN,310,2019,7,2,0.0
HUN,310,2019,8,2,0.0
HUN,310,2019,11,1,200.0
HUN,310,2019,12,5,9600.0
HUN,310,2020,6,2,2000.0
HUN,310,2020,7,1,0.0
HUN,310,2020,8,1,0.0
HUN,310,2020,9,2,0.0
HUN,310,2020,10,2,10000.0
HUN,310,2021,1,1,0.0
HUN,310,2021,2,1,200.0
HUN,310,2021,3,1,1000.0
HUN,310,2021,6,7,5000.0
HUN,310,2021,7,6,1200.0
HUN,310,2021,10,3,5000.0
HUN,310,2022,7,11,0.0
HUN,310,2022,8,1,0.0
HUN,310,2022,9,1,0.0
HUN,310,2022,10,3,0.0
HUN,310,2022,11,1,1500.0
IRN,630,2017,1,9,1040.0
IRN,630,2017,2,3,0.0
IRN,630,2017,3,3,0.0
IRN,630,2017,4,1,0.0
IRN,630,2017,5,8,20000.0
IRN,630,2017,6,15,0.0
IRN,630,2017,7,1,0.0
IRN,630,2017,9,2,0.0
IRN,630,2017,10,2,0.0
IRN,630,2017,11,3,0.0
IRN,630,2017,12,208,5900.0
IRN,630,2018,1,161,0.0
IRN,630,2018,2,34,0.0
IRN,630,2018,3,12,0.0
IRN,630,2018,4,4,0.0
IRN,630,2018,5,9,0.0
IRN,630,2018,6,9,25.0
IRN,630,2018,7,20,2000.0
IRN,630,2018,8,37,2200.0
IRN,630,2018,9,4,0.0
IRN,630,2018,10,4,0.0
IRN,630,2018,11,34,8000.0
IRN,630,2018,12,24,200.0
IRN,630,2019,1,4,0.0
IRN,630,2019,2,11,0.0
IRN,630,2019,3,13,250.0
IRN,630,2019,4,1,0.0
IRN,630,2019,5,17,0.0
IRN,630,2019,6,21,2525.0
IRN,630,2019,7,30,1346.0
IRN,630,2019,8,25,680.0
IRN,630,2019,9,31,1979.0
IRN,630,2019,10,25,1000.0
IRN,630,2019,11,109,170.0
IRN,630,2019,12,5,600.0
IRN,630,2020,1,56,2400.0
IRN,630,2020,2,12,600.0
IRN,630,2020,3,5,0.0
IRN,630,2020,4,2,0.0
IRN,630,2020,5,18,5037.0
IRN,630,2020,6,2,500.0
IRN,630,2020,7,32,0.0
IRN,630,2020,8,3,0.0
IRN,630,2020,9,16,550.0
IRN,630,2020,10,18,50.0
IRN,630,2020,11,9,40.0
IRN,630,2020,12,6,0.0
IRN,630,2021,1,38,3000.0
IRN,630,2021,2,31,0.0
IRN,630,2021,3,22,380.0
IRN,630,2021,4,42,200.0
IRN,630,2021,5,45,0.0
IRN,630,2021,6,36,360.0
IRN,630,2021,7,108,220.0
IRN,630,2021,8,18,0.0
IRN,630,2021,9,22,0.0
IRN,630,2021,10,17,700.0
IRN,630,2021,11,88,5130.0
IRN,630,2021,12,8,0.0
IRN,630,2022,1,118,4650.0
IRN,630,2022,2,149,6310.0
IRN,630,2022,3,29,105.0
IRN,630,2022,4,96,1222.0
IRN,630,2022,5,265,5870.0
IRN,630,2022,6,88,2500.0
IRN,630,2022,7,158,205.0
IRN,630,2022,8,41,55.0
IRN,630,2022,9,528,8590.0
IRN,630,2022,10,814,121180.0
IRN,630,2022,11,471,0.0
IRN,630,2022,12,123,1000.0
IRQ,645,2017,1,3,0.0
IRQ,645,2017,2,25,0.0
IRQ,645,2017,3,3,0.0
IRQ,645,2017,4,1,0.0
IRQ,645,2017,6,1,0.0
IRQ,645,2017,8,5,0.0
