"id","indicator","indicator.label","freq","freq.label","rep_var","rep_var.label","classification","data.start","data.end","last.update","n.records","n.ref_area","with.region","collection","collection.label","subject","subject.label","database","database.label"
"MST_XWAP_SEX_EDU_CCT_NB_A","MST_XWAP_SEX_EDU_CCT_NB","Working-age population by sex, education and citizenship (thousands)","A","Annual","MST_XWAP_NB","Working-age population","SEX,EDU,CCT",1991,2024,"19/02/2026 12:15:03",161295,141,,"ILMS","International labour migration statistics (ILMS)","MST","International migrant stock","ILMS","International Labour Migration Statistics (ILMS)"
"POP_XWAP_SEX_EDU_LMS_NB_A","POP_XWAP_SEX_EDU_LMS_NB","Working-age population by sex, education and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,EDU,LMS",1970,2025,"25/02/2026 07:05:32",364052,178,,"YI","Annual indicators","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_LMS_NB_Q","POP_XWAP_SEX_EDU_LMS_NB","Working-age population by sex, education and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,EDU,LMS",1987,2025,"24/02/2026 07:05:22",394070,98,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_EDU_LMS_NB_M","POP_XWAP_SEX_EDU_LMS_NB","Working-age population by sex, education and labour market status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,EDU,LMS",1990,2026,"14/02/2026 08:03:12",194784,15,,"STI","Short-term labour force indicators (STLFS)","POP","Population","EMI","Education and Mismatch Indicators (EMI)"
"POP_XWAP_SEX_GEO_NB_A","POP_XWAP_SEX_GEO_NB","Working-age population by sex and rural / urban areas (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,GEO",1970,2025,"16/02/2026 19:38:01",17447,147,,"YI","Annual indicators","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_NB_Q","POP_XWAP_SEX_GEO_NB","Working-age population by sex and rural / urban areas (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,GEO",1987,2025,"20/02/2026 23:00:37",45776,86,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_NB_M","POP_XWAP_SEX_GEO_NB","Working-age population by sex and rural / urban areas (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,GEO",2000,2026,"14/02/2026 08:03:12",15798,12,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_MTS_NB_A","POP_XWAP_SEX_GEO_MTS_NB","Working-age population by sex, rural / urban area and marital status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,GEO,MTS",1970,2025,"16/02/2026 19:38:01",107561,142,,"YI","Annual indicators","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_MTS_NB_Q","POP_XWAP_SEX_GEO_MTS_NB","Working-age population by sex, rural / urban area and marital status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,GEO,MTS",1987,2025,"16/02/2026 19:29:22",181845,59,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_DSB_NB_A","POP_XWAP_SEX_GEO_DSB_NB","Working-age population by sex, rural / urban areas and disability status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,GEO,DSB",1996,2025,"14/02/2026 08:09:21",23318,104,,"YI","Annual indicators","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_GEO_DSB_NB_Q","POP_XWAP_SEX_GEO_DSB_NB","Working-age population by sex, rural / urban areas and disability status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,GEO,DSB",2009,2025,"14/02/2026 08:06:21",11881,20,,"STI","Short-term labour force indicators (STLFS)","POP","Population","DLMI","Disability Labour Market Indicators (DLMI)"
"POP_XWAP_SEX_GEO_LMS_NB_A","POP_XWAP_SEX_GEO_LMS_NB","Working-age population by sex, rural / urban areas and labour market status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,GEO,LMS",1970,2025,"16/02/2026 19:38:01",68006,145,,"YI","Annual indicators","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_LMS_NB_Q","POP_XWAP_SEX_GEO_LMS_NB","Working-age population by sex, rural / urban areas and labour market status (thousands)","Q","Quarterly","POP_XWAP_NB","Working-age population","SEX,GEO,LMS",1987,2025,"16/02/2026 19:30:53",176742,84,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_GEO_LMS_NB_M","POP_XWAP_SEX_GEO_LMS_NB","Working-age population by sex, rural / urban areas and labour market status (thousands)","M","Monthly","POP_XWAP_NB","Working-age population","SEX,GEO,LMS",2000,2026,"14/02/2026 08:03:12",63192,12,,"STI","Short-term labour force indicators (STLFS)","POP","Population","RURBAN","Rural and Urban Labour Markets (RURBAN)"
"POP_XWAP_SEX_MTS_NB_A","POP_XWAP_SEX_MTS_NB","Working-age population by sex and marital status (thousands)","A","Annual","POP_XWAP_NB","Working-age population","SEX,MTS",1970,2025,"25/02/2026 07:05:32",49393,173,,"YI","Annual indicators","POP","Population","GEND","Gender Equality and Non-Discrimination Indicators (GEND)"
