id,indicator,indicator.label,freq,freq.label,rep_var,rep_var.label,classification,data.start,data.end,last.update,n.records,n.ref_area,with.region,collection,collection.label,subject,subject.label,database,database.label
EAR_EMTA_SEX_GEO_NB_A,EAR_EMTA_SEX_GEO_NB,Average monthly earnings of employees by sex and rural / urban areas (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,GEO",1989,2025,20/02/2026 02:49:10,12450,128,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_GEO_CUR_NB_A,EAR_EMTA_SEX_GEO_CUR_NB,"Average monthly earnings of employees by sex, rural / urban areas and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,GEO,CUR",1989,2025,21/02/2026 02:27:17,36231,127,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_MTS_NB_A,EAR_EMTA_SEX_MTS_NB,Average monthly earnings of employees by sex and marital status (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,MTS",1989,2025,25/02/2026 07:04:40,42755,146,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_MTS_CUR_NB_A,EAR_EMTA_SEX_MTS_CUR_NB,"Average monthly earnings of employees by sex, marital status and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,MTS,CUR",1989,2025,26/02/2026 07:05:04,43149,145,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_DSB_NB_A,EAR_EMTA_SEX_DSB_NB,Average monthly earnings of employees by sex and disability status (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,DSB",1996,2025,20/02/2026 02:49:10,7776,103,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_DSB_CUR_NB_A,EAR_EMTA_SEX_DSB_CUR_NB,"Average monthly earnings of employees by sex, disability status and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,DSB,CUR",1996,2025,21/02/2026 02:27:17,22491,103,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_CCT_CUR_NB_A,EAR_EMTA_SEX_CCT_CUR_NB,"Average monthly earnings of employees by sex, citizenship and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,CCT,CUR",1991,2024,07/02/2026 19:20:04,10210,79,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EAR_EMTA_SEX_CBR_CUR_NB_A,EAR_EMTA_SEX_CBR_CUR_NB,"Average monthly earnings of employees by sex, place of birth and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,CBR,CUR",1990,2024,20/02/2026 18:49:04,15742,100,,ILMS,International labour migration statistics (ILMS),MST,International migrant stock,ILMS,International Labour Migration Statistics (ILMS)
EAR_EMTA_SEX_ECO_NB_A,EAR_EMTA_SEX_ECO_NB,Average monthly earnings of employees by sex and economic activity (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,ECO",1969,2025,03/03/2026 08:50:27,162447,193,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_ECO_NB_Q,EAR_EMTA_SEX_ECO_NB,Average monthly earnings of employees by sex and economic activity (local currency),Q,Quarterly,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,ECO",1989,2025,03/03/2026 08:38:06,207368,68,,STI,Short-term labour force indicators (STLFS),EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_ECO_NB_M,EAR_EMTA_SEX_ECO_NB,Average monthly earnings of employees by sex and economic activity (local currency),M,Monthly,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,ECO",1989,2026,19/02/2026 20:53:42,86820,44,,STI,Short-term labour force indicators (STLFS),EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_ECO_CUR_NB_A,EAR_EMTA_SEX_ECO_CUR_NB,"Average monthly earnings of employees by sex, economic activity and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,ECO,CUR",1969,2025,26/02/2026 07:05:04,529614,196,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_OCU_NB_A,EAR_EMTA_SEX_OCU_NB,Average monthly earnings of employees by sex and occupation (local currency),A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,OCU",1989,2025,03/03/2026 08:50:27,79656,164,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTA_SEX_OCU_CUR_NB_A,EAR_EMTA_SEX_OCU_CUR_NB,"Average monthly earnings of employees by sex, occupation and currency",A,Annual,EAR_EMTA_NB,Average monthly earnings of employees,"SEX,OCU,CUR",1989,2025,26/02/2026 07:05:04,224951,160,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_NB_A,EAR_EMTM_SEX_NB,Median monthly earnings of employees by sex (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,SEX,1989,2025,02/03/2026 20:50:26,4935,149,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_CUR_NB_A,EAR_EMTM_SEX_CUR_NB,Median monthly earnings of employees by sex and currency,A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,CUR",1989,2025,03/03/2026 09:06:23,14244,148,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_AGE_NB_A,EAR_EMTM_SEX_AGE_NB,Median monthly earnings of employees by sex and age (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,AGE",1989,2025,02/03/2026 20:50:26,73866,149,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_AGE_CUR_NB_A,EAR_EMTM_SEX_AGE_CUR_NB,"Median monthly earnings of employees by sex, age and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,AGE,CUR",1989,2025,03/03/2026 09:06:23,113001,148,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_EDU_NB_A,EAR_EMTM_SEX_EDU_NB,Median monthly earnings of employees by sex and education (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,EDU",1989,2025,02/03/2026 20:50:26,53610,148,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_EDU_CUR_NB_A,EAR_EMTM_SEX_EDU_CUR_NB,"Median monthly earnings of employees by sex, education and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,EDU,CUR",1989,2025,03/03/2026 09:06:23,148021,147,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_GEO_NB_A,EAR_EMTM_SEX_GEO_NB,Median monthly earnings of employees by sex and rural / urban areas (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,GEO",1989,2025,02/03/2026 20:50:26,12423,128,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_GEO_CUR_NB_A,EAR_EMTM_SEX_GEO_CUR_NB,"Median monthly earnings of employees by sex, rural / urban areas and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,GEO,CUR",1989,2025,03/03/2026 09:06:23,36150,127,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_MTS_NB_A,EAR_EMTM_SEX_MTS_NB,Median monthly earnings of employees by sex and marital status (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,MTS",1989,2025,02/03/2026 20:50:26,42674,146,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_MTS_CUR_NB_A,EAR_EMTM_SEX_MTS_CUR_NB,"Median monthly earnings of employees by sex, marital status and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,MTS,CUR",1989,2025,03/03/2026 09:06:23,43068,145,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_DSB_NB_A,EAR_EMTM_SEX_DSB_NB,Median monthly earnings of employees by sex and disability status (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,DSB",1996,2025,02/03/2026 20:50:26,7776,103,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_DSB_CUR_NB_A,EAR_EMTM_SEX_DSB_CUR_NB,"Median monthly earnings of employees by sex, disability status and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,DSB,CUR",1996,2025,03/03/2026 09:06:23,22491,103,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_ECO_NB_A,EAR_EMTM_SEX_ECO_NB,Median monthly earnings of employees by sex and economic activity (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,ECO",1989,2025,03/03/2026 08:50:27,125159,146,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_ECO_CUR_NB_A,EAR_EMTM_SEX_ECO_CUR_NB,"Median monthly earnings of employees by sex, economic activity and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,ECO,CUR",1989,2025,03/03/2026 09:06:23,394435,148,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_OCU_NB_A,EAR_EMTM_SEX_OCU_NB,Median monthly earnings of employees by sex and occupation (local currency),A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,OCU",1989,2025,03/03/2026 08:50:27,73309,139,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
EAR_EMTM_SEX_OCU_CUR_NB_A,EAR_EMTM_SEX_OCU_CUR_NB,"Median monthly earnings of employees by sex, occupation and currency",A,Annual,EAR_EMTM_NB,Median monthly earnings of employees,"SEX,OCU,CUR",1989,2025,03/03/2026 09:06:23,206505,138,,YI,Annual indicators,EAR,Earnings,COND,Wages and Working Time Statistics (COND)
GED_PEAR_SEX_HHT_CHL_NB_A,GED_PEAR_SEX_HHT_CHL_NB,"Average monthly earnings of prime-age employees by sex, household type and presence of children (local currency)",A,Annual,GED_PEAR_NB,Average monthly earnings of employees who are prime-age household members,"SEX,HHT,CHL",2000,2025,16/12/2025 16:04:37,48178,63,,YI,Annual indicators,EAR,Earnings,GEND,Gender Equality and Non-Discrimination Indicators (GEND)
GED_PEAR_SEX_HHT_GEO_NB_A,GED_PEAR_SEX_HHT_GEO_NB,"Average monthly earnings of prime-age employees by sex, household type and rural / urban areas (local currency)",A,Annual,GED_PEAR_NB,Average monthly earnings of employees who are prime-age household members,"SEX,HHT,GEO",2000,2025,16/12/2025 16:04:37,17983,53,,YI,Annual indicators,EAR,Earnings,GEND,Gender Equality and Non-Discrimination Indicators (GEND)
ILR_TUMT_NOC_RT_A,ILR_TUMT_NOC_RT,Trade union density rate (%),A,Annual,ILR_TUMT_RT,Trade union density rate,,2000,2020,21/06/2024 11:56:21,1287,139,,IRDATA,Industrial relations (IRDATA),ILR,Industrial relations,IRDATA,Industrial Relations Data (IRdata)
ILR_CBCT_NOC_RT_A,ILR_CBCT_NOC_RT,Collective bargaining coverage rate (%),A,Annual,ILR_CBCT_RT,Collective bargaining coverage rate,,2000,2020,03/05/2022 16:55:20,865,99,,IRDATA,Industrial relations (IRDATA),ILR,Industrial relations,IRDATA,Industrial Relations Data (IRdata)
STR_TSTR_ECO_NB_A,STR_TSTR_ECO_NB,Number of strikes and lockouts by economic activity,A,Annual,STR_TSTR_NB,Number of strikes and lockouts,ECO,1969,2024,02/03/2026 20:50:26,28913,127,,YI,Annual indicators,ILR,Industrial relations,IRDATA,Industrial Relations Data (IRdata)
STR_DAYS_ECO_NB_A,STR_DAYS_ECO_NB,Days not worked due to strikes and lockouts by economic activity,A,Annual,STR_DAYS_NB,Days not worked due to strikes and lockouts,ECO,1969,2024,02/03/2026 20:50:26,28882,117,,YI,Annual indicators,ILR,Industrial relations,IRDATA,Industrial Relations Data (IRdata)
