globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1149158304,20240101,20240101000000,180,180,18,4,4,1,4,-6,Israel,IS,IS,,31.5,34.75,IS,20240101000000,https://flipboard.com/topic/news/friends-star-david-schwimmer-calls-out-skeptics-of-hamas-sexual-assaults-wher/a-wppQx70RSlyRuNjsWscvpQ:a:43591897-8695d2b295%2Ffoxnews.com
1149158353,20240101,20240101000000,014,014,01,1,10,1,10,-3.38983050847457,Israel,IS,IS,,31.5,34.75,IS,20240101000000,https://www.haaretz.com/israel-news/2023-12-31/ty-article/.premium/ultra-orthodox-shas-party-pushing-bill-to-delay-top-court-ruling-on-judicial-coup-law/0000018c-c148-d3e0-abac-d9e974ae0000
1149158357,20240101,20240101000000,010,010,01,1,2,1,2,-1.85714285714286,Japan,JA,JA,,36,138,JA,20240101000000,https://www.planetf1.com/news/f1-news-round-up-red-bull-no-plan-b-mercedes-victim-complex
1149158364,20240101,20240101000000,020,020,02,1,6,1,6,0,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20240101000000,https://www.channelnewsasia.com/business/us-supreme-courts-roberts-urges-caution-ai-reshapes-legal-field-4019266
1149158365,20240101,20240101000000,020,020,02,1,16,2,16,-0.341530054644806,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,20240101000000,https://news.yahoo.com/us-supreme-courts-roberts-urges-230402150.html
1149158366,20240101,20240101000000,020,020,02,1,10,1,10,-2.1978021978022,"California, United States",US,USCA,,36.17,-119.746,CA,20240101000000,https://www.meadvilletribune.com/california-law-banning-most-firearms-in-public-is-taking-effect-as-the-legal-fight-over/article_0146eefe-2c09-5b38-8e89-dbce70ef8ec2.html
1149158371,20240101,20240101000000,051,051,05,1,5,1,5,-1.77777777777778,,,,,,,,20240101000000,https://news.yahoo.com/roberts-warns-ai-dehumanizing-law-230221011.html
1149158375,20240101,20240101000000,130,130,13,3,10,1,10,-0.54644808743169,"Boston, Massachusetts, United States",US,USMA,MA025,42.3584,-71.0598,617565,20240101000000,https://www.marketscreener.com/business-leaders/JOHN-ROBERTS-6685/news/US-Supreme-Court-s-Roberts-urges-caution-as-AI-reshapes-legal-field-45653955/
1149158445,20240101,20240101000000,180,180,18,4,10,1,10,-1.6750418760469,Iraq,IZ,IZ,,33,44,IZ,20240101000000,https://www.defensenews.com/news/your-marine-corps/2023/12/31/new-in-2024-testing-in-to-decide-future-of-new-marine-landing-ship/
1149158446,20240101,20240101000000,190,190,19,4,10,1,10,-4.24710424710425,Yemen,YM,YM,,15.5,47.5,YM,20240101000000,https://news.yahoo.com/white-house-says-not-seeking-225006449.html
1149158463,20240101,20240101000000,015,015,01,1,8,4,8,-5.13784461152882,Spain,SP,SP,,40,-4,SP,20240101000000,https://fox17.com/news/nation-world/us-helicopters-shoot-kill-several-houthi-rebels-in-latest-armed-exchange-on-the-red-sea-commerical-shipping-iran-gaza-israel-ballistic-missiles-navy-joe-biden-yemen-national-security-coalition-forces
1149158470,20240101,20240101000000,084,084,08,2,5,1,5,-1.34854771784232,,,,,,,,20240101000000,https://screenrant.com/one-piece-live-action-netflix-cast-problem-12-season-plan/
1149158475,20240101,20240101000000,010,010,01,1,10,1,10,-7.76470588235291,,,,,,,,20240101000000,https://www.shockya.com/news/2023/12/31/globalist-tech-giant-unveils-sinister-plan-to-predict-misinformation-the-jd-rucker-show-exposes-disturbing-details/
1149158556,20240101,20240101000000,185,185,18,4,5,1,5,-5.67200986436498,Ukraine,UP,UP,,49,32,UP,20240101000000,https://www.eurasiareview.com/01012024-the-world-neither-learnt-nor-forgot-anything-in-2023-oped/
1149158612,20240101,20240101000000,112,112,11,3,8,1,8,-6.09756097560976,Russia,RS,RS,,60,100,RS,20240101000000,https://news.sky.com/story/new-years-eve-latest-germany-italy-and-france-join-2024-festivities-as-london-mayor-teases-fireworks-display-surprises-13039949
1149158641,20240101,20240101000000,180,180,18,4,10,1,10,-2.11726384364821,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20240101000000,https://www.ynetnews.com/environment/article/sjdofdjup
1149158657,20240101,20240101000000,130,130,13,3,4,2,4,-4.95867768595041,"Shahed, Fars, Iran",IR,IR07,25307,28.5934,52.2295,-3083999,20240101000000,https://www.messenger-inquirer.com/news/national/ukraine-downs-drones-as-russia-retaliates-for-belgorod-attack/article_673cc0bb-522c-529e-b1bb-b9a210a3a01d.html
1149158665,20240101,20240101000000,190,190,19,4,18,3,18,-8.39189747246237,"Belgorod, Belgorodskaya Oblast', Russia",RS,RS09,25036,50.6107,36.5802,-2883930,20240101000000,https://www.watoday.com.au/world/europe/in-escalation-russian-drones-strike-ukrainian-hotel-kindergarten-shops-20240101-p5eug2.html
1149158684,20240101,20240101000000,010,010,01,1,2,1,2,5.36585365853659,"Maine, United States",US,USME,,44.6074,-69.3977,ME,20240101000000,https://www.theautochannel.com/news/2023/12/30/1322696-luxury-vehicle-condos-coming-to-maine.html
