feature,importance,model_name
num__fx_pct_30d_x_instability,0.001808099914342165,model6_xgb_nolag
num__gold_pct_30d,0.0017897846410050988,model6_xgb_nolag
num__fx_pct_30d_z,0.0017874159384518862,model6_xgb_nolag
num__silver_pct_30d,0.0017109035979956388,model6_xgb_nolag
num__vix_level,0.0016816436545923352,model6_xgb_nolag
num__vix_7d_ma,0.00166054826695472,model6_xgb_nolag
num__fao_oils_index_yoy,0.0016457195160910487,model6_xgb_nolag
num__fx_pct_30d,0.001538745011202991,model6_xgb_nolag
num__dxy_vol_30d,0.0014472955372184515,model6_xgb_nolag
fe__country_iso3_LAO,0.0012202187208458781,model6_xgb_nolag
fe__country_iso3_ITA,0.0009286102722398937,model6_xgb_nolag
fe__country_iso3_FRA,0.0001425639056833461,model6_xgb_nolag
fe__country_iso3_NLD,0.0,model6_xgb_nolag
fe__country_iso3_NOR,0.0,model6_xgb_nolag
num__fao_food_index_yoy_above90,0.0,model6_xgb_nolag
num__fao_cereals_index_yoy_above90,0.0,model6_xgb_nolag
fe__country_iso3_PER,0.0,model6_xgb_nolag
fe__country_iso3_PRT,0.0,model6_xgb_nolag
fe__country_iso3_TUR,0.0,model6_xgb_nolag
fe__country_iso3_THA,0.0,model6_xgb_nolag
fe__country_iso3_VNM,0.0,model6_xgb_nolag
num__covid_period,0.0,model6_xgb_nolag
fe__country_iso3_GRC,0.0,model6_xgb_nolag
fe__country_iso3_ESP,0.0,model6_xgb_nolag
fe__country_iso3_DEU,0.0,model6_xgb_nolag
fe__country_iso3_KEN,0.0,model6_xgb_nolag
fe__country_iso3_MEX,0.0,model6_xgb_nolag
fe__country_iso3_MYS,0.0,model6_xgb_nolag
num__gta_liberalising_events,0.0,model6_xgb_nolag
num__gta_harmful_events,0.0,model6_xgb_nolag
